id,cocoa_percent,num_ingredients,rating,split,year_binary,country_peru,country_venezuela
1,0.771567826310209,-0.04148005545553843,3.25,train,1,0,0
2,0.771567826310209,-0.04148005545553843,3.5,test,1,0,0
3,0.771567826310209,-0.04148005545553843,3.75,train,1,0,0
4,-0.6824855074438542,-0.04148005545553843,3.0,train,1,0,0
5,0.04454115943317741,-0.04148005545553843,3.0,train,1,0,1
6,1.4985944931872406,-0.04148005545553843,3.25,train,1,0,0
7,-0.6824855074438542,-0.04148005545553843,3.5,train,1,0,0
8,-0.3189721740053384,1.06598060321356,3.5,train,0,0,0
9,-1.5912688410401437,1.06598060321356,3.75,train,0,1,0
10,-0.3189721740053384,1.06598060321356,2.75,test,0,0,0
11,-0.3189721740053384,1.06598060321356,2.75,test,0,0,0
12,-0.3189721740053384,1.06598060321356,3.0,train,0,0,0
13,-0.3189721740053384,1.06598060321356,3.0,train,0,0,0
14,-0.3189721740053384,1.06598060321356,3.25,train,0,0,0
15,-0.3189721740053384,1.06598060321356,3.25,test,0,0,0
16,-0.3189721740053384,1.06598060321356,3.25,train,0,1,0
17,-0.3189721740053384,1.06598060321356,3.5,train,0,1,0
18,-0.3189721740053384,1.06598060321356,3.75,test,0,0,0
19,-0.3189721740053384,1.06598060321356,4.0,train,0,0,1
20,-1.5912688410401437,-0.04148005545553843,4.0,train,0,1,0
21,-0.3189721740053384,1.06598060321356,2.75,train,0,0,1
22,-0.3189721740053384,1.06598060321356,3.5,train,0,0,0
23,-0.3189721740053384,1.06598060321356,3.5,test,0,0,1
24,-0.3189721740053384,1.06598060321356,3.75,test,0,0,1
25,-0.3189721740053384,1.06598060321356,4.0,train,0,1,0
26,-0.3189721740053384,1.06598060321356,2.75,train,1,0,0
27,-0.3189721740053384,1.06598060321356,3.0,train,1,0,0
28,-0.3189721740053384,1.06598060321356,3.5,test,1,0,0
29,-0.3189721740053384,1.06598060321356,3.5,train,1,1,0
30,-1.5912688410401437,1.06598060321356,3.75,train,1,0,0
31,-0.3189721740053384,1.06598060321356,3.5,train,1,0,1
32,-1.5912688410401437,1.06598060321356,3.75,train,1,1,0
33,-0.3189721740053384,1.06598060321356,4.0,train,1,0,0
34,-0.3189721740053384,-1.1489407141246368,3.75,test,1,1,0
35,-0.3189721740053384,-1.1489407141246368,3.75,train,1,1,0
36,0.4080544928716932,-1.1489407141246368,3.25,train,1,0,0
37,-0.3189721740053384,-1.1489407141246368,3.5,train,1,1,0
38,-2.1365388411979174,-0.04148005545553843,2.75,test,0,0,0
39,1.4985944931872406,-0.04148005545553843,3.25,train,0,0,0
40,2.9526478269413037,-0.04148005545553843,3.5,test,0,0,0
41,0.04454115943317741,-0.04148005545553843,3.5,train,0,0,0
42,-0.3189721740053384,-1.1489407141246368,2.5,test,1,0,0
43,-0.3189721740053384,-1.1489407141246368,2.75,train,1,0,0
44,-0.3189721740053384,-1.1489407141246368,2.75,train,1,0,0
45,-0.3189721740053384,-1.1489407141246368,3.0,train,1,0,0
46,-3.0453221747942067,1.06598060321356,2.75,train,0,0,0
47,-0.3189721740053384,1.06598060321356,3.0,train,0,0,0
48,-0.3189721740053384,-0.04148005545553843,3.0,train,0,0,0
49,0.5898111595909511,1.06598060321356,2.75,train,0,0,0
50,0.5898111595909511,1.06598060321356,2.75,train,0,0,0
51,0.5898111595909511,1.06598060321356,3.75,train,0,0,0
52,0.5898111595909511,2.1734412618826586,2.5,train,0,0,1
53,0.5898111595909511,2.1734412618826586,2.5,test,0,1,0
54,-1.227755507601628,3.280901920551757,2.75,test,0,0,0
55,0.5898111595909511,2.1734412618826586,2.75,train,0,0,0
56,0.5898111595909511,2.1734412618826586,3.0,train,0,0,0
57,0.5898111595909511,3.280901920551757,3.5,train,1,0,0
58,-0.3189721740053384,-0.04148005545553843,3.5,test,1,0,0
59,-0.3189721740053384,-0.04148005545553843,3.5,train,1,0,0
60,-0.3189721740053384,-0.04148005545553843,3.5,train,1,0,0
61,-0.3189721740053384,-0.04148005545553843,3.5,train,1,0,0
62,-2.1365388411979174,1.06598060321356,2.5,train,0,0,1
63,-2.1365388411979174,1.06598060321356,3.0,train,0,0,0
64,-2.1365388411979174,1.06598060321356,3.0,train,0,0,0
65,1.4985944931872406,1.06598060321356,3.25,train,0,0,0
66,-2.1365388411979174,1.06598060321356,3.25,train,0,1,0
67,-2.1365388411979174,-0.04148005545553843,2.5,train,1,0,0
68,-2.1365388411979174,-0.04148005545553843,2.5,train,1,1,0
69,-2.1365388411979174,-0.04148005545553843,2.75,train,1,0,0
70,-2.1365388411979174,-0.04148005545553843,2.75,test,1,0,0
71,-2.1365388411979174,-0.04148005545553843,3.0,test,1,1,0
72,-0.3189721740053384,-0.04148005545553843,3.0,train,1,0,0
73,-0.3189721740053384,1.06598060321356,3.0,train,0,0,1
74,-0.3189721740053384,1.06598060321356,3.5,train,0,0,0
75,-0.3189721740053384,1.06598060321356,3.75,train,0,0,1
76,-0.3189721740053384,1.06598060321356,2.75,train,0,0,0
